query,query_sha,filename,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,fea19,fea20,fea21,fea22,fea23,fea24,fea25,fea26,fea27,fea28,fea29,fea30,fea31,fea32,fea33,fea34,fea35,fea36,fea37,fea38,fea39,fea40,fea41,similarity,label
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,8.txt,2,0,3,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311287,hoax
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,2.txt,4,0,4,0,2,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.591256,hoax
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,1.txt,5,0,5,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559911,hoax
Sherry Shepperd Die hoax,08340407fb0db6624b6f8188d20ae3b37ab4f8b9973dcd15b387f18a2ef66a57,0.txt,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057801,hoax
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826406,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,7.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429192,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,3.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414528,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,6.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unrelated
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,8.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795616,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,4.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.556001,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,11.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.339677,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567612,fact
Free Cone Day from Daily Queen Holding hoax,08e63fb9449dfc3803f3fbd65b5885ab87d15444072051bdc0b2a73e05bae86d,0.txt,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532176,fact
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,9.txt,4,0,4,0,2,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,hoax
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,3.txt,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,hoax
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,6.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,8.txt,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoax
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,2.txt,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hoax
Tommy Chong Death hoax,0a94d3ebc06e7fb97a3bdcb8dc8c062e88c6c6a51d7abf65953f3a21d8e0971b,0.txt,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hoax
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199428,unknown
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,3.txt,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.337138,hoax
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,6.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0.0455386,unknown
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,8.txt,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936375,unknown
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,2.txt,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219023,hoax
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,1.txt,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190462,fact
Charles Manson Death hoax,0c0725c7a5e164efe3f84a619d1b20e71823c4719e0e07fcd4f9b17cec0bfcb2,0.txt,1,0,7,0,0,3,0,4,0,0,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.23849,hoax
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,9.txt,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492182,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,7.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0237686,unrelated
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,3.txt,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,2,10,0.901879,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,6.txt,5,0,4,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.475267,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,8.txt,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.606578,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,4.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.117086,unrelated
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,2.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39866,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,5.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.130738,unrelated
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0.498472,fact
Indonesia is largest archipelago hoax,0c25fa889de0724e1c1ac99f7206af75da46d00868784cbef0f98fb41bf29179,0.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397427,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953053,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,3.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238602,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,6.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766167,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,8.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296134,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,2.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336464,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59238,fact
Nutella Burger Mc'Donalds hoax,0dbca87703c0eb5141bf15c79fa7f168ea76ba8ff19dd897dc4c5d7c79faf6a8,0.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419071,fact
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,9.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225903,unrelated
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,7.txt,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0888157,hoax
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,3.txt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250205,unrelated
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,6.txt,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.363142,unrelated
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,4.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887308,unrelated
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,2.txt,6,0,6,0,2,4,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.333202,hoax
Indonesia largest moslem population hoax,0f2a73e52abe0c0a4c7b96cdd34e894078d18fd051f1b24e3310114cd94c3f89,5.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,7,0.114624,unrelated
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,9.txt,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0837801,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,7.txt,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.498853,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,3.txt,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0707934,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,6.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0434565,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,8.txt,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.42519,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,2.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0434565,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,5.txt,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0329036,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,1.txt,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.239413,hoax
Big Show was killed in a car accident hoax,13ede3feb3a48a5cc23d5a068ffe80b5c0124f40fbf3688ef7f8329881c707c3,0.txt,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508905,hoax
Betty White Death hoax,19c1b3fdea241c7c7331d916912624baf8a638834898ca799c0a9e146e560944,9.txt,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384637,hoax
Betty White Death hoax,19c1b3fdea241c7c7331d916912624baf8a638834898ca799c0a9e146e560944,7.txt,12,0,2,0,2,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877053,hoax
Betty White Death hoax,19c1b3fdea241c7c7331d916912624baf8a638834898ca799c0a9e146e560944,6.txt,3,0,1,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587079,hoax
Betty White Death hoax,19c1b3fdea241c7c7331d916912624baf8a638834898ca799c0a9e146e560944,8.txt,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.524494,unrelated
